timestamp,open,high,low,close,volume
1731000000,68000,68200,67900,68100,120
1731000300,68100,68350,68050,68250,150
1731000600,68250,68400,68200,68300,160
1731000900,68300,68500,68250,68450,190
1731001200,68450,68600,68350,68550,250
1731001500,68550,68650,68400,68420,80
1731001800,68420,68500,68300,68350,70
1731002100,68350,68400,68200,68220,60
1731002400,68220,68300,68150,68280,95
1731002700,68280,68420,68200,68380,140
1731003000,68380,68500,68350,68470,170
1731003300,68470,68650,68450,68600,300
1731003600,68600,68700,68500,68650,280
1731003900,68650,68800,68600,68780,310
1731004200,68780,68900,68700,68850,260
1731004500,68850,69000,68800,68980,350
1731004800,68980,69050,68850,68900,220
1731005100,68900,68950,68700,68750,180
1731005400,68750,68800,68600,68680,160
1731005700,68680,68750,68550,68620,140
